,title,start,end,num,answer_date
49,남편선교사가 안티폴로감옥에 있습니다. (필리핀),2018-06-17,2018-07-17,207275,2018-08-03
50,"제주도 불법 난민 신청 문제에 따른 난민법, 무사증 입국, 난민신청허가 폐지/개헌 청원합니다.",2018-06-13,2018-07-13,714875,2018-08-01
51,문재인 대통령님께 청원합니다.,2018-05-25,2018-06-24,224539,2018-07-24
52,대검찰청의 불법적인 성폭력 수사메뉴얼  중단을 요청합니다.,2018-05-28,2018-06-27,217143,2018-07-19
53,무고죄 특별법의 제정을 촉구합니다.,2018-05-25,2018-06-24,240618,2018-07-19
54,대구 동성로/서울 시청광장   퀴어행사(동성애축제)개최를 반대합니다.,2018-06-14,2018-07-14,219987,2018-07-13
55,자주포 폭발사고로 전신화상을 입은 장병을 치료해 주시고 국가유공자로 지정해 주십시오,2018-05-18,2018-06-17,302635,2018-07-11
56,유기견 보호소 폐지를 막아주세요!!!,2018-05-13,2018-06-12,226252,2018-06-19
57,티비 조선의  종편 허가 취소 청원,2018-04-14,2018-05-14,236714,2018-06-14
58,(한번씩만 봐주세요.)저의 일은 아니지만 이런 일은 좀 강력 처벌 강력하게 조치 해주셔야할거 같아서 글을 올립니다.,2018-05-02,2018-06-01,334173,2018-06-11
59,어른들에게 성적 학대와 조롱을 당하고 있는 아이들을 구해주세요.,2018-04-15,2018-05-15,216163,2018-06-11
60,선관위의 위법사항 내용에 따른 국회의원 전원 위법사실 여부 전수조사를 청원합니다.,2018-04-16,2018-05-16,260624,2018-06-05
61,삼성증권 시스템 규제와 공매도 금지,2018-04-06,2018-05-06,242286,2018-05-31
62,세월호 관련 청문회 위증한 조여옥대위 징계바랍니다.,2018-03-28,2018-04-27,215036,2018-05-25
63,합정 **** 불법 누드촬영,2018-05-17,2018-06-16,201590,2018-05-21
64,위장•몰래카메라 판매금지와 몰카범죄 처벌을 강화해주세요.,2018-03-23,2018-04-22,209494,2018-05-21
65,여성도 대한민국 국민입니다. 성별 관계없는 국가의 보호를 요청합니다.,2018-05-11,2018-06-10,419006,2018-05-21
66,미세먼지의 위험 그리고 오염 및 중국에대한 항의,2018-03-24,2018-04-23,278128,2018-05-16
67,GMO완전표시제 시행을 촉구합니다!,2018-03-12,2018-04-11,216886,2018-05-08
68,다산신도시 실버택배 비용은 입주민들의 관리비로 충당해야합니다.,2018-04-17,2018-05-17,302082,2018-05-04
69,국민들은 정부 개헌안을 지지합니다. 정부의 개헌을 꼭 실현시켜 주십시오.,2018-03-13,2018-04-12,304320,2018-05-02
70,미혼모를 위한 히트 앤드 런 방지법을 만들어주세요. #GIRLS_CAN_DO_ANYTHING,2018-02-23,2018-03-25,217054,2018-04-24
71,단역배우 자매 자살 사건 제발 재조사를 해주세여.,2018-03-03,2018-04-02,222770,2018-04-13
